Row_ID,Brand_Name,Category_Name,Sector,Brand_Key,Category_Key,A_Energized_Differentiation_R,A_Relevance_R,A_Esteem_R,A_Knowledge_R,A_Brand_Stature_R,A_Brand_Strength_R,A_Brand_Asset_R,Total_Users_pct,Total_Prefer_pct,Different_pct,Distinctive_pct,Unique_pct,Dynamic_pct,Innovative_pct,Leader_pct,Reliable_pct,High_quality_pct,Arrogant_pct,Authentic_pct,Best_Brand_pct,Carefree_pct,Cares_Customers_pct,Charming_pct,Daring_pct,Down_to_Earth_pct,Energetic_pct,Friendly_pct,Fun_pct,Gaining_In_Popularity_pct,Glamorous_pct,Good_Value_pct,Healthy_pct,Helpful_pct,High_Performance_pct,Independent_pct,Intelligent_pct,Kind_pct,Obliging_pct,Original_pct,Prestigious_pct,Progressive_pct,Restrained_pct,Rugged_pct,Sensuous_pct,Simple_pct,Social_pct,Socially_Responsible_pct,Straightforward_pct,Stylish_pct,Traditional_pct,Trendy_pct,Trustworthy_pct,Unapproachable_pct,Up_To_Date_pct,Upper_Class_pct,Visionary_pct,Worth_More_pct
R23,Maserati,Automobiles,Auto,27009,5,96.9,0.8,29.89,42.89,40.17,32.41,39.85,0.48,13.3,8.77,18.16,12.53,12.49,7.79,9.33,6.1,26.03,15.35,9.71,4.09,4.85,6.2,4.03,12.34,4.74,9.56,3.69,11.38,3.64,15.75,5.41,1.73,3.46,18.44,8,8.87,4.14,3.38,11.67,25.73,7.3,2.75,5.56,4.3,4.47,7.59,4.92,4.63,16.22,3.79,12.87,7.7,12.9,7.49,29.78,8.74,6.26
R24,Mazda,Automobiles,Auto,16,5,74.16,24.58,57.59,78.09,68.56,47.2,67.18,2.72,21.29,8.32,9.27,7.24,8.68,9.04,9.98,14.68,13.85,3.16,6.85,3.92,5.96,8.58,6.73,7.5,14.69,7.16,9.43,12.49,8.12,4.1,14.95,2.9,5.34,11.6,8.56,7.25,5.14,4.55,11.36,4.64,6.82,4.83,6.53,3.3,11.43,7.6,5.31,6.01,11.35,5.82,14.09,13.57,4.07,9.69,6.57,9.65,4.35
R25,Mercedes-Benz,Automobiles,Auto,17,5,97.59,7.15,88.98,79.41,87.42,72.67,85.67,1.88,20.94,7.1,20.34,10.6,13.99,10.67,18.93,18.29,38.96,16.1,11.48,12.12,3.74,8.93,5.95,7.21,7.78,7.45,6.48,11.03,4.71,20.16,6.47,2.81,4.46,22.95,8,12.9,3.41,4.04,14.13,28.83,9.27,3.46,5.6,5,3.92,8.37,6.69,5.84,23.21,8.24,13.33,17.49,11.26,10.78,42.83,9.51,12.1
R26,Mercury,Automobiles,Auto,588,5,33.22,24.78,51.82,71.43,63.85,21.1,57.62,2.37,17.26,8.17,7.77,5.65,6.31,5.22,9.21,14.7,14.08,3.42,6.94,3.77,4.69,7.16,3.49,6.09,12.87,4.26,7.73,6.79,4.14,3.68,11.35,3.05,5.81,7.41,8.24,8.1,5.54,5.84,15.02,5.98,4.98,4.87,5.87,2.33,9.23,7.38,6.62,5.51,8.65,10.9,8.81,13.56,4.24,7.32,6.92,6.94,2.91
R27,Mini Cooper,Automobiles,Auto,26467,5,98.82,3.47,38.62,57.34,51.91,70.89,60.78,0.72,15.21,17.12,16.51,14.51,8.89,10.36,9.62,11.37,13.97,2.71,10.33,3.82,7.7,6.67,10.68,10.85,12.91,8.79,12.16,22.32,11.38,3.81,10.91,2.58,5.12,8.15,11.33,7.8,4.21,3.38,18.23,4.86,6.83,3.92,3.92,1.7,12.6,8.22,7.01,4.93,14.89,4.56,22.24,10.67,3.26,7.57,9.97,9.62,3.82
R28,Mitsubishi Vehicles,Automobiles,Auto,18,5,50.01,16.14,41.77,72.78,60.03,24.09,55.18,1.68,16.56,6.83,6.61,7.04,7.83,8.12,7.79,14.16,11.66,3.04,5.02,4.55,4.16,6.58,4.64,6.44,12.56,7.93,8.73,10.36,6.18,3.72,10.77,2.55,4.41,9.5,6.55,7.83,4.1,3.56,10.42,3.67,4.49,3.83,6.39,2.32,9.61,6.47,5.9,5.41,10.81,4.24,10.6,11.67,3.41,9,7.58,8.18,3.42
R29,Nissan,Automobiles,Auto,19,5,72.21,51.22,79.59,82.72,82.74,63.94,80.45,6.28,28.79,7.2,9.61,6.62,8.72,9.85,12.98,21.72,16.26,2.48,8.04,5.53,4.27,11.61,3.85,5.58,17.88,7.83,12.52,10.87,8.59,4.53,17.24,2.7,6.43,10.63,8.85,10.32,4.25,4.86,12.79,5.9,8.01,3.97,6.97,2.09,13.57,6.96,8.4,7.5,11.9,6.68,12.12,17.9,3.19,12.43,6.18,9.84,5.32
R30,Porsche,Automobiles,Auto,21,5,99.14,5,78.67,76.89,79.82,77.75,81.08,0.69,17.85,8.76,20.32,13.28,16.75,10.61,16.05,12.51,31.35,15.27,11.3,9.12,5.9,7.83,6.17,13.8,6.16,12.03,6.65,17.21,4.9,18.95,5.58,2.04,3.85,24.77,8.59,11.93,4.76,4.2,12.7,25.75,8.28,4.06,7.55,8.1,4.81,8.71,6.57,4.99,22.39,5.98,16.01,12.85,12.15,9.55,36.98,10.41,9.03
R31,Rolls-Royce,Automobiles,Auto,23,5,96.99,1.21,73.84,70.77,75.37,38.67,70.05,0.51,14.19,7.44,20.99,14.67,10.5,6.61,14.99,11.9,34.07,18.49,12.06,12.04,2.93,6.71,6.14,5.15,5.69,4.27,4.98,6.22,2.89,20.05,4.09,1.62,3.57,16.85,8.68,9.78,3.25,3.2,13.64,29.54,4.52,4.37,4.8,4.26,4.52,7.65,4.75,4.47,17.9,10.33,9.76,12.13,17.09,7.02,42.34,6.7,11.13
R32,SAAB,Automobiles,Auto,604,5,90.53,3.3,32.36,64.05,52.45,36.92,52.4,0.72,12.55,9.3,13.47,9.88,9.19,8.72,8.33,10.76,16.29,6.37,6.79,3.54,4.47,6.44,4.3,5.07,11.44,6.7,6.61,7.24,4.92,6.03,6.4,2.2,5.1,8.68,8.15,8.58,3.6,5.31,13.44,10.26,5.82,4.28,5.05,3.29,8.08,6.8,5.95,5.58,11.36,6.84,11.67,12.91,6.35,8.54,17.1,6.96,4.23
R33,Scion,Automobiles,Auto,-233,5,82.97,3.85,17.17,34.48,29.74,28.17,28.34,0.98,12.67,10.12,11.39,9.69,5.24,9.46,8,9.69,8.72,3.11,5.11,2.39,4.03,7.03,4.7,7.5,12.53,6.12,8.98,12.53,7.38,3.27,10.76,1.65,4.19,7.28,7.74,5.5,4.34,5.32,11.65,3.64,8.19,4.76,4.54,1.25,11.21,7.34,6.45,4.01,8.92,2.64,16.18,8.55,5.73,6.27,5.59,10.15,2.81
R34,Smart (car),Automobiles,Auto,10562,5,99.6,4.57,19.01,49.38,39.74,82.57,53.86,0.58,13.48,18.54,13.45,15.74,9.76,17.99,9.38,7.8,8.3,4.06,8.16,4.62,4.98,8.13,6.98,9.26,14.78,4.02,10.38,13.29,12.04,4.24,9.94,4.93,7.22,5.67,6.9,11.46,4.6,4.73,17.8,3.66,13.61,4.68,3.2,1.49,13.15,7.24,12.95,3.56,6.3,2.62,19.76,7.34,5.24,10.58,6.54,17.77,4.23
R35,Subaru,Automobiles,Auto,608,5,67.13,17.05,63.77,75.74,71.03,35.6,66.09,2.53,21.1,9.13,9.16,6.83,7.58,7.68,10.08,18.45,15.86,2.74,7.65,4.71,4.54,8.89,5.46,5.78,17.38,7.85,9.87,9.72,6.65,4.49,13.24,2.75,6.6,10.83,7.7,9.07,4.63,5.37,12.56,4.73,7.96,4.32,13.27,1.82,11.13,8.21,9.17,7.14,9.34,6.42,10.58,17.81,3.06,8.14,7.49,8.95,5.18
R36,Tesla,Automobiles,Auto,-27755,5,92.62,15.19,25.21,22.71,22.71,64.34,31.35,0.48,10.79,9.07,11.16,11.12,8.45,12.67,8.72,9.26,9.03,4.09,6.49,4.2,4.29,5.7,3.53,9.97,7.46,7.7,4.45,6.79,7.31,6.81,6.29,3.74,5.08,7.63,9.33,8.45,4.29,4.68,12.61,7.29,9.1,3.73,6.55,3.8,10.25,7.27,8.55,5.64,7.97,4.45,11.61,8.35,4.31,7.52,8.52,11.79,4.78
R37,Toyota,Automobiles,Auto,25,5,74.65,80.65,96.99,93.02,96.61,85.87,94.89,13.82,39.2,6.36,8.86,7.05,9.24,11.17,21.84,29.83,23.68,4.21,8.77,11.43,5.23,16.58,6.75,7.45,25.83,9.67,17.08,12.67,11.25,4.24,23.91,3.95,8.64,18.01,7.34,11.72,6.47,5.38,13.88,5,10.19,5.28,9.85,3.29,14.82,9.05,11.64,9.3,12.52,7.39,13.64,26.72,3.29,14.6,7.18,13.39,10.93
R38,Volkswagen,Automobiles,Auto,26,5,87.25,24.69,78.38,86.19,83.09,61.79,80.51,2.4,25.76,10.09,13.36,9.12,6.61,8.82,13.26,20.05,16.45,2.89,11,5.58,6.92,9.02,8.47,7.18,20.44,7.78,15.01,17.69,9,4.67,17.28,2.58,5.54,11.06,9.14,10.31,5.07,5.79,18.84,5.7,8.17,4.59,8.66,2.51,15.76,9.84,9.29,8.09,10.5,10.73,13.89,19.1,3.53,9.55,5.74,9.01,5.8
R39,Volvo,Automobiles,Auto,27,5,78.9,8.5,78.7,76.69,79.79,34.48,72.98,1.6,20.23,7.56,13.49,7.89,7.14,8.02,13.92,19.76,24.67,6.74,9.04,5.73,4,8.95,4.82,5.49,12.57,6.09,7.08,5.67,5.56,5.41,9.35,3.15,5.58,14.65,8.98,12,3.97,5.08,12.35,11.2,7.13,5.38,9.65,2.56,8.06,6.06,8.68,6.78,12.57,8.42,10.66,19,6.12,8.26,19.69,8.15,6.8
